,datetime,o,h,l,c,time,date
2428,2018-04-13 13:00:00,10967.77,10980.23,10965.39,10965.39,13:00:00,2018-04-13
2496,2018-04-16 09:00:00,10962.36,10974.94,10921.17,10943.19,09:00:00,2018-04-16
2497,2018-04-16 10:00:00,10941.39,10969.38,10934.84,10959.81,10:00:00,2018-04-16
2498,2018-04-16 11:00:00,10960.06,10963.52,10940.76,10955.98,11:00:00,2018-04-16
2499,2018-04-16 12:00:00,10951.67,10969.53,10949.57,10963.14,12:00:00,2018-04-16
2500,2018-04-16 13:00:00,10958.66,10967.78,10944.02,10954.55,13:00:00,2018-04-16
2520,2018-04-17 09:00:00,10953.51,10965.2,10835.75,10851.44,09:00:00,2018-04-17
2521,2018-04-17 10:00:00,10850.17,10868.38,10842.65,10847.52,10:00:00,2018-04-17
2522,2018-04-17 11:00:00,10852.72,10855.72,10819.12,10826.29,11:00:00,2018-04-17
2523,2018-04-17 12:00:00,10821.76,10827.09,10810.51,10815.82,12:00:00,2018-04-17
2524,2018-04-17 13:00:00,10815.04,10821.35,10799.07,10810.45,13:00:00,2018-04-17
2544,2018-04-18 09:00:00,10842.88,10917.6,10842.88,10882.21,09:00:00,2018-04-18
2545,2018-04-18 10:00:00,10882.89,10887.2,10826.55,10842.9,10:00:00,2018-04-18
2546,2018-04-18 11:00:00,10843.01,10847.64,10809.89,10821.37,11:00:00,2018-04-18
2547,2018-04-18 12:00:00,10824.46,10848.97,10819.4,10843.17,12:00:00,2018-04-18
2548,2018-04-18 13:00:00,10842.49,10861.1,10832.46,10847.89,13:00:00,2018-04-18
2568,2018-04-19 09:00:00,10891.66,10950.45,10889.71,10938.58,09:00:00,2018-04-19
2569,2018-04-19 10:00:00,10944.03,10973.84,10936.11,10964.58,10:00:00,2018-04-19
2570,2018-04-19 11:00:00,10964.11,10983.96,10959.64,10963.4,11:00:00,2018-04-19
2571,2018-04-19 12:00:00,10966.68,10969.54,10945.78,10955.57,12:00:00,2018-04-19
2572,2018-04-19 13:00:00,10955.63,10971.22,10944.49,10971.22,13:00:00,2018-04-19
2592,2018-04-20 09:00:00,10802.42,10818.75,10776.41,10812.88,09:00:00,2018-04-20
2593,2018-04-20 10:00:00,10813.05,10831.56,10804.92,10821.19,10:00:00,2018-04-20
2594,2018-04-20 11:00:00,10816.55,10822.41,10784.03,10793.2,11:00:00,2018-04-20
2595,2018-04-20 12:00:00,10788.94,10799.54,10780.99,10783.54,12:00:00,2018-04-20
2596,2018-04-20 13:00:00,10784.31,10789.33,10770.05,10779.38,13:00:00,2018-04-20
2664,2018-04-23 09:00:00,10756.89,10774.73,10717.4,10743.13,09:00:00,2018-04-23
2665,2018-04-23 10:00:00,10746.91,10757.82,10723.81,10728.22,10:00:00,2018-04-23
2666,2018-04-23 11:00:00,10728.19,10730.12,10687.25,10701.39,11:00:00,2018-04-23
2667,2018-04-23 12:00:00,10701.63,10705.83,10689.82,10695.62,12:00:00,2018-04-23
2668,2018-04-23 13:00:00,10694.05,10705.34,10688.51,10697.13,13:00:00,2018-04-23
2688,2018-04-24 09:00:00,10680.38,10692.19,10540.15,10622.24,09:00:00,2018-04-24
2689,2018-04-24 10:00:00,10626.57,10633.13,10598.61,10604.02,10:00:00,2018-04-24
2690,2018-04-24 11:00:00,10609.44,10625.54,10599.11,10605.76,11:00:00,2018-04-24
2691,2018-04-24 12:00:00,10602.99,10606.24,10577.73,10599.38,12:00:00,2018-04-24
2692,2018-04-24 13:00:00,10599.24,10601.29,10576.0,10579.5,13:00:00,2018-04-24
2712,2018-04-25 09:00:00,10541.83,10558.84,10489.81,10516.43,09:00:00,2018-04-25
2713,2018-04-25 10:00:00,10518.78,10525.96,10489.2,10516.69,10:00:00,2018-04-25
2714,2018-04-25 11:00:00,10522.77,10545.49,10514.58,10528.35,11:00:00,2018-04-25
2715,2018-04-25 12:00:00,10524.54,10562.07,10523.42,10558.32,12:00:00,2018-04-25
2716,2018-04-25 13:00:00,10564.45,10573.73,10555.54,10559.97,13:00:00,2018-04-25
2736,2018-04-26 09:00:00,10583.08,10618.68,10565.98,10575.0,09:00:00,2018-04-26
2737,2018-04-26 10:00:00,10571.55,10585.15,10560.1,10573.42,10:00:00,2018-04-26
2738,2018-04-26 11:00:00,10572.8,10578.49,10529.32,10537.06,11:00:00,2018-04-26
2739,2018-04-26 12:00:00,10540.02,10542.02,10481.09,10505.52,12:00:00,2018-04-26
2740,2018-04-26 13:00:00,10504.4,10513.34,10478.98,10488.58,13:00:00,2018-04-26
2760,2018-04-27 09:00:00,10546.29,10573.61,10502.59,10516.08,09:00:00,2018-04-27
2761,2018-04-27 10:00:00,10516.05,10538.01,10495.67,10530.65,10:00:00,2018-04-27
2762,2018-04-27 11:00:00,10528.43,10535.31,10505.74,10517.22,11:00:00,2018-04-27
2763,2018-04-27 12:00:00,10521.34,10525.77,10509.6,10515.45,12:00:00,2018-04-27
2764,2018-04-27 13:00:00,10514.12,10553.43,10502.58,10553.43,13:00:00,2018-04-27
2832,2018-04-30 09:00:00,10553.41,10594.6,10539.63,10590.69,09:00:00,2018-04-30
2833,2018-04-30 10:00:00,10594.29,10642.28,10589.34,10640.97,10:00:00,2018-04-30
2834,2018-04-30 11:00:00,10635.52,10648.95,10623.54,10647.72,11:00:00,2018-04-30
2835,2018-04-30 12:00:00,10648.25,10655.13,10640.56,10650.54,12:00:00,2018-04-30
2836,2018-04-30 13:00:00,10651.14,10660.61,10643.16,10657.88,13:00:00,2018-04-30
2880,2018-05-02 09:00:00,10665.52,10683.9,10627.3,10652.76,09:00:00,2018-05-02
2881,2018-05-02 10:00:00,10654.03,10671.42,10644.21,10667.02,10:00:00,2018-05-02
2882,2018-05-02 11:00:00,10666.55,10668.22,10646.78,10649.26,11:00:00,2018-05-02
2883,2018-05-02 12:00:00,10649.42,10662.91,10615.02,10622.18,12:00:00,2018-05-02
2884,2018-05-02 13:00:00,10621.65,10622.01,10601.1,10618.81,13:00:00,2018-05-02
